ydate,cp,upprob,pctg,ydatestr
735236,146.06,0.501987637229936,0.654675763214106,2013-01-02
735237,145.73,0.550819055961494,-0.178094390026727,2013-01-03
735238,146.37,0.521028851100273,0.274028910050014,2013-01-04
735241,145.97,0.519759964645765,0.0822763112787141,2013-01-07
735242,145.55,0.511122764353617,-0.109807151190719,2013-01-08
735243,145.92,0.52433224195202,0.0342770960444114,2013-01-09
735244,147.08,0.534630407476086,0.238533360594304,2013-01-10
735245,147.07,0.528890042625443,0.0204026115342772,2013-01-11
735248,146.97,0.51715756076833,0.0544625229763854,2013-01-14
735249,147.07,0.515274835945385,0.533187504272337,2013-01-15
735250,147.05,0.504402650542739,0.190774681474417,2013-01-16
735251,148,0.526660829652745,0.203114421123908,2013-01-17
735252,148.33,0.532449407828638,0.243292559302571,2013-01-18
735256,149.13,0.520333747507192,0.539337962650835,2013-01-22
735257,149.37,0.514069087379361,0.160933413800046,2013-01-23
735258,149.41,0.517044113581089,0.174321153201469,2013-01-24
735259,150.25,0.519797303013756,0.246864157993064,2013-01-25
735262,150.07,0.530935681933319,-0.146383658260695,2013-01-28
735263,150.66,0.526719368907776,0.594244508245968,2013-01-29
735264,150.07,0.513203430364936,-0.378385554965476,2013-01-30
735265,149.7,0.52988897380648,-0.126759623724063,2013-01-31
735266,151.24,0.529404428126701,0.391636242947231,2013-02-01
735269,149.54,0.528199636084481,-0.518893028206494,2013-02-04
735270,151.05,0.520634114565655,0.465580312603936,2013-02-05
735271,151.16,0.532121491367895,0.425192665426512,2013-02-06
735272,150.96,0.504877444471572,-0.165332980622975,2013-02-07
735273,151.8,0.530108452624687,0.383547149847912,2013-02-08
735276,151.77,0.520525018127739,0.0197706603400561,2013-02-11
735277,152.02,0.517944758735913,0.158123599947298,2013-02-12
735278,152.15,0.523480781712496,-0.118164511258457,2013-02-13
735279,152.29,0.52771893011375,0.395543542751661,2013-02-14
735280,152.11,0.507033939657706,-0.209932427999733,2013-02-15
735284,153.25,0.52820721947295,0.577541510796086,2013-02-19
735285,151.34,0.511964578327176,-1.17539506334072,2013-02-20
735286,150.42,0.536056685526876,-0.357710651828312,2013-02-21
735287,151.89,0.535147782886498,0.489579887528932,2013-02-22
735290,149,0.532632303027618,-2.37830046517722,2013-02-25
735291,150.02,0.581721472188733,0.200374031525522,2013-02-26
735292,151.91,0.543531526802814,1.34765494696111,2013-02-27
735293,151.61,0.497446511417539,-0.190915075707697,2013-02-28
735294,152.11,0.52191154229945,0.675094314646906,2013-03-01
735297,152.92,0.50099300860282,0.764364786505006,2013-03-04
735298,154.29,0.499806360794234,0.40999609527528,2013-03-05
735299,154.5,0.523409437432174,-0.219581503487473,2013-03-06
735300,154.78,0.52588477835193,0.0517129928894716,2013-03-07
735301,155.44,0.519270658295129,-0.0128650456709187,2013-03-08
735304,156.03,0.524954717864778,0.457120782899825,2013-03-11
