ydatestr,ydate,openp,cp,n1dg1,n1dg2,n2dg1,corrn05,n1dg,yval,upprob
1969-11-05,719472,97.21,97.64,0.00442341322909173,0.000617601646937602,0.0050437467833247,-0.201910267774907,0.000307251126587476,2,0.613604937018863
1969-11-06,719473,97.64,97.67,0.000307251126587476,0.00442341322909173,0.0047320234543772,-0.385791083216969,0.00604074946247572,2,0.462315622139213
1969-11-07,719474,97.67,98.26,0.00604074946247572,0.000307251126587476,0.00634985661614097,-0.482288436897276,0.000712395684917496,2,0.65205137777383
1969-11-10,719477,98.26,98.33,0.000712395684917496,0.00604074946247572,0.00675744855124395,-0.582856787885785,-0.00264415742906544,1,0.461084237507694
1969-11-11,719478,98.33,98.07,-0.00264415742906544,0.000712395684917496,-0.00193364543049066,-0.939327421504561,-0.00183542367696536,1,0.449551034568545
1969-11-12,719479,98.07,97.89,-0.00183542367696536,-0.00264415742906544,-0.00447472795687987,-0.231125865940277,-0.0048013075901522,1,0.499182562925497
1969-11-13,719480,97.89,97.42,-0.0048013075901522,-0.00183542367696536,-0.0066279188334862,0.155738120375911,-0.00359269143912963,1,0.410052948251789
1969-11-14,719481,97.42,97.07,-0.00359269143912963,-0.0048013075901522,-0.00837674941260606,0.782571927446374,-0.00679921705985368,1,0.478427557210609
1969-11-17,719484,97.07,96.41,-0.00679921705985368,-0.00359269143912963,-0.0103674810100596,0.166773317837124,-0.0002074473602323,1,0.376702862453051
1969-11-18,719485,96.41,96.39,-0.0002074473602323,-0.00679921705985368,-0.00700525394045527,0.0672984601174823,-0.0050835148874364,1,0.580465588359086
1969-11-19,719486,96.39,95.9,-0.0050835148874364,-0.0002074473602323,-0.0052899076859246,-0.789280620622028,-0.0103232533889469,1,0.361242433676556
1969-11-20,719487,95.9,94.91,-0.0103232533889469,-0.0050835148874364,-0.0153542898640938,-0.698965397599966,-0.00621641555157521,1,0.294936913513903
1969-11-21,719488,94.91,94.32,-0.00621641555157521,-0.0103232533889469,-0.0164754953076122,-0.240628903296352,-0.0114503816793893,1,0.455988128957781
1969-11-24,719491,94.32,93.24,-0.0114503816793893,-0.00621641555157521,-0.0175956169002213,-0.0610758429581689,-0.00321750321750319,1,0.277769575673422
1969-11-25,719492,93.24,92.94,-0.00321750321750319,-0.0114503816793893,-0.0146310432569974,0.217080936141483,0.00355067785668171,2,0.544709802900346
1969-11-26,719493,92.94,93.27,0.00355067785668171,-0.00321750321750319,0.000321750321750334,-0.947469564203695,0.00578964297201679,2,0.600861563173763
1969-11-28,719495,93.27,93.81,0.00578964297201679,0.00355067785668171,0.00936087798579734,0.358273684183772,-0.00628930817610066,1,0.605154089136498
1969-12-01,719498,93.81,93.22,-0.00628930817610066,0.00578964297201679,-0.000536078052964481,0.645661623392566,-0.00611456768933698,1,0.269686734172534
1969-12-02,719499,93.22,92.65,-0.00611456768933698,-0.00628930817610066,-0.0123654194648758,0.0709430121086769,-0.0107933081489477,1,0.409636383028179
1969-12-03,719500,92.65,91.65,-0.0107933081489477,-0.00611456768933698,-0.016841879425016,0.102617581857729,0.00327332242225856,2,0.292435276648785
1969-12-04,719501,91.65,91.95,0.00327332242225856,-0.0107933081489477,-0.00755531570426339,0.557076225508595,-0.00239260467645458,1,0.710692007367486
1969-12-05,719502,91.95,91.73,-0.00239260467645458,0.00327332242225856,0.000872885979268939,-0.428714937956143,-0.00970238744140413,1,0.387912406609439
1969-12-08,719505,91.73,90.84,-0.00970238744140413,-0.00239260467645458,-0.0120717781402936,-0.175718596373984,-0.00319242624394547,1,0.288724833289159
1969-12-09,719506,90.84,90.55,-0.00319242624394547,-0.00970238744140413,-0.0128638395290527,-0.276162642904042,-0.000773053561568119,1,0.52391230515339
