ydatestr,ydate,openp,cp,n1dg1,n1dg2,n2dg1,corrn05,corrn06,corrn07,corrn08,corrn09,n1dg,yval,upprob
1950-12-21,712578,19.98,19.98,0.000500751126690113,0.000501002004007916,0.00100200400801601,-0.0400672068882185,0.0417206034491897,0.0576053073093231,-0.00425946408306108,-0.0521956255664109,0.0045045045045045,2,0.592941094868626
1950-12-22,712579,20.07,20.07,0.0045045045045045,0.000500751126690113,0.00500751126690042,-0.413851718842926,-0.0159727457946489,0.0473986610701392,0.0604685060081059,0.000124662992524174,-0.00747384155455897,1,0.59775214437316
1950-12-26,712583,19.92,19.92,-0.00747384155455897,0.0045045045045045,-0.00300300300300294,0.620647398375157,-0.36150458481148,-0.0125148753197703,0.0437088844655767,0.0572596056871942,0.0190763052208835,2,0.449961278704641
1950-12-27,712584,20.3,20.3,0.0190763052208835,-0.00747384155455897,0.0114598903836572,-0.575808747836688,0.414090015533911,-0.284201908116386,-0.0357401304716298,0.0193974931839663,0.0039408866995073,2,0.758901321110754
1950-12-28,712585,20.38,20.38,0.0039408866995073,0.0190763052208835,0.0230923694779115,-0.987583151913771,-0.915505208487452,-0.268089110457216,-0.422385563547773,-0.173897773027585,0.00245338567222771,2,0.32339622281505
1950-12-29,712586,20.43,20.43,0.00245338567222771,0.0039408866995073,0.00640394088669946,-0.501306850651778,-0.4483244704327,-0.456365586264848,-0.236452829063405,-0.419015870849149,0.0166421928536466,2,0.474882751749416
1951-01-02,712590,20.77,20.77,0.0166421928536466,0.00245338567222771,0.0191364082433759,-0.507645216955534,-0.496445928428856,-0.448715579145867,-0.456173334860454,-0.228347084189986,-0.00385170919595562,1,0.548940663586331
1951-01-03,712591,20.69,20.69,-0.00385170919595562,0.0166421928536466,0.0127263827704357,-0.734550916167526,-0.497277353438894,-0.466840846957143,-0.408093794373503,-0.418607028111349,0.00869985500241661,2,0.410774763159226
1951-01-04,712592,20.87,20.87,0.00869985500241661,-0.00385170919595562,0.0048146364949447,-0.637665752532937,-0.80699414287262,-0.598514905655979,-0.574021826331735,-0.51652234824023,0,1,0.459971424429821
1951-01-05,712593,20.87,20.87,0,0.00869985500241661,0.00869985500241661,-0.717505262811265,-0.618454618136802,-0.75504708474417,-0.597953646450731,-0.58057857873902,0.00622903689506464,2,0.434183784136833
1951-01-08,712596,21,21,0.00622903689506464,0,0.00622903689506464,-0.769839535928087,-0.734747207796864,-0.601451255147833,-0.748965032944702,-0.608455785897271,0.00571428571428576,2,0.451338100206423
1951-01-09,712597,21.12,21.12,0.00571428571428576,0.00622903689506464,0.0119789171058936,-0.996489577824188,-0.741157433374362,-0.720509111882911,-0.593273389263045,-0.727049722712154,-0.0127840909090909,1,0.439095821240404
1951-01-10,712598,20.85,20.85,-0.0127840909090909,0.00571428571428576,-0.00714285714285707,-0.870298191872054,-0.949717820678911,-0.73786228802519,-0.713439602191085,-0.593478156997351,0.0163069544364508,2,0.34211040593026
1951-01-11,712599,21.19,21.19,0.0163069544364508,-0.0127840909090909,0.00331439393939395,-0.339240107288943,-0.548664214080881,-0.551223058287566,-0.532316682893512,-0.529593349245306,-0.00377536573855601,1,0.569523392928061
1951-01-12,712600,21.11,21.11,-0.00377536573855601,0.0163069544364508,0.0124700239808153,-0.754293510679546,-0.735265353557081,-0.751637990781112,-0.751473109580232,-0.666072438930306,0.00900047370914265,2,0.400105721452617
1951-01-15,712603,21.3,21.3,0.00900047370914265,-0.00377536573855601,0.00519112789051437,-0.722714786276656,-0.731145971854263,-0.730075590679567,-0.752407629339185,-0.762679861598033,0.00751173708920188,2,0.482259065109972
1951-01-16,712604,21.46,21.46,0.00751173708920188,0.00900047370914265,0.0165798199905259,-0.799129390841926,-0.74849868155155,-0.751203141064202,-0.753568497522013,-0.767738285303237,0.00419384902143522,2,0.457990057438171
1951-01-17,712605,21.55,21.55,0.00419384902143522,0.00751173708920188,0.0117370892018779,-0.927830053251364,-0.683241841904328,-0.661015037602222,-0.665378518891287,-0.676006251331241,-0.00696055684454766,1,0.473582909248212
1951-01-18,712606,21.4,21.4,-0.00696055684454766,0.00419384902143522,-0.00279589934762359,-0.840293841581656,-0.930443637588258,-0.664455776320999,-0.648677186918648,-0.65314457309582,-0.00186915887850463,1,0.421783540471398
1951-01-19,712607,21.36,21.36,-0.00186915887850463,-0.00696055684454766,-0.00881670533642697,-0.180084401661324,-0.446376591565738,-0.733095140237913,-0.621243108211417,-0.597832116820186,-0.00842696629213482,1,0.525903485188435
1951-01-22,712610,21.18,21.18,-0.00842696629213482,-0.00186915887850463,-0.0102803738317756,0.525049968057,0.134369150791444,-0.172749523558148,-0.536598288506229,-0.508237323221964,0.00377714825306902,2,0.592437817047276
1951-01-23,712611,21.26,21.26,0.00377714825306902,-0.00842696629213482,-0.00468164794007481,0.367453139480392,0.605724592074027,0.249244196181964,0.0124706249670456,-0.395788909066587,-0.0047036688617122,1,0.701604287214868
1951-01-24,712612,21.16,21.16,-0.0047036688617122,0.00377714825306902,-0.000944287063267213,-0.804693960806885,-0.0683006057734158,0.281445767270394,0.115117959518631,-0.0888257469163429,-0.00614366729678634,1,0.556455727443777
1951-01-25,712613,21.03,21.03,-0.00614366729678634,-0.0047036688617122,-0.0108184383819379,-0.686961691074879,-0.739945084733252,-0.129937363154088,0.219180548187585,0.0453260166227055,0.0109367570137898,2,0.452046618197496
1951-01-26,712614,21.26,21.26,0.0109367570137898,-0.00614366729678634,0.00472589792060498,-0.589055548005571,-0.607132913227078,-0.653061655289556,-0.0437277889434665,0.2920429878931,0.0192850423330198,2,0.517253070374505
1951-01-29,712617,21.67,21.67,0.0192850423330198,0.0109367570137898,0.0304327151688065,-0.573337219278618,-0.579886746153249,-0.531092435620486,-0.593710401157277,-0.250122996669038,0.00323027226580511,2,0.517251180116534
1951-01-30,712618,21.74,21.74,0.00323027226580511,0.0192850423330198,0.0225776105362181,0.4616736141742,0.417011288516755,0.390111913776393,0.416334013055513,0.274877292748464,-0.00367985280588769,1,0.607216400178632
1951-01-31,712619,21.66,21.66,-0.00367985280588769,0.00323027226580511,-0.000461467466543681,0.255311965729497,0.245037759844103,0.229388248651665,0.276133393064852,0.31091739168179,0.00507848568790394,2,0.599898489431132
1951-02-01,712620,21.77,21.77,0.00507848568790394,-0.00367985280588769,0.00137994480220796,-0.0283186838779343,0.257941083827084,0.250571297010026,0.206861923827588,0.256091106048882,0.00872760679834641,2,0.635327870033181
1951-02-02,712621,21.96,21.96,0.00872760679834641,0.00507848568790394,0.0138504155124654,0.225864174824943,0.0296171479163188,0.238441287709291,0.210134276515114,0.1831889109202,0.0109289617486338,2,0.600083590591652
1951-02-05,712624,22.2,22.2,0.0109289617486338,0.00872760679834641,0.0197519522278365,-0.02528977426022,0.203931428997089,0.0309038524641309,0.247589416350739,0.220769010908355,-0.00360360360360353,1,0.623986434366756
1951-02-06,712625,22.12,22.12,-0.00360360360360353,0.0109289617486338,0.00728597449908926,0.386417774306209,0.0676404354815769,0.218954475697975,0.0627404783397485,0.285537657049311,-0.00587703435804713,1,0.567874248844191
1951-02-07,712626,21.99,21.99,-0.00587703435804713,-0.00360360360360353,-0.0094594594594595,-0.239778678423018,-0.0972715468809883,-0.0764686677101178,0.0895659430342143,-0.0705282384712806,0.00454752160072767,2,0.571053438905261
1951-02-08,712627,22.09,22.09,0.00454752160072767,-0.00587703435804713,-0.0013562386980109,0.414825568518284,0.24306533282469,0.231315241146448,0.211807800718389,0.312944363900637,0.00362154821186065,2,0.641706844160934
1951-02-09,712628,22.17,22.17,0.00362154821186065,0.00454752160072767,0.00818553888130984,0.178664611299428,0.225160692698331,0.156862781083389,0.114113270743232,0.118271377250778,0.00045105999097871,2,0.610427838723729
1951-02-13,712632,22.18,22.18,0.00045105999097871,0.00362154821186065,0.00407424173834314,-0.220402658879892,0.192568258880082,0.227821073721682,0.158041003111783,0.12318269418415,-0.0027051397655545,1,0.602795671718412
1951-02-14,712633,22.12,22.12,-0.0027051397655545,0.00045105999097871,-0.00225529995489403,0.183230017695708,-0.206699833675642,0.187335999987943,0.221648954965672,0.14166184891242,-0.00542495479204344,1,0.555683676608033
1951-02-15,712634,22,22,-0.00542495479204344,-0.0027051397655545,-0.00811541929666365,-0.298316481606068,0.144353325936246,-0.174641638922692,0.223089346169227,0.263324595270138,0.00590909090909086,2,0.601330197359399
1951-02-16,712635,22.13,22.13,0.00590909090909086,-0.00542495479204344,0.000452079566003527,0.970826006212489,0.065927709793708,0.244377696903392,-0.0267687667409063,0.319402319334786,-0.0135562584726616,1,0.620792289577448
1951-02-19,712638,21.83,21.83,-0.0135562584726616,0.00590909090909086,-0.0077272727272728,-0.328299758958594,-0.00881266193196232,-0.21556759179708,-0.0439527082135296,-0.235299532170307,-0.00183234081539162,1,0.539448933810813
1951-02-20,712639,21.79,21.79,-0.00183234081539162,-0.0135562584726616,-0.0153637596023497,-0.90182664977955,-0.689131124059551,-0.436932595707362,-0.537056691071238,-0.425012130689374,0.00321248279027078,2,0.532450383313961
1951-02-21,712640,21.86,21.86,0.00321248279027078,-0.00183234081539162,0.0013742556115438,-0.675515890229747,-0.630921190700905,-0.465224939398267,-0.264250232553737,-0.332040318015347,0.00274473924977138,2,0.51881377981526
1951-02-23,712642,21.92,21.92,0.00274473924977138,0.00321248279027078,0.00596603946764583,-0.558180597058557,-0.557338195565961,-0.544937627330635,-0.431181143248125,-0.265582158335117,0.000456204379561953,2,0.51884511806144
1951-02-26,712645,21.93,21.93,0.000456204379561953,0.00274473924977138,0.00320219579139983,-0.332781294256194,-0.392600151343607,-0.372114877804483,-0.37770807932102,-0.315939146135725,-0.00775193798449604,1,0.537855190165942
1951-02-27,712646,21.76,21.76,-0.00775193798449604,0.000456204379561953,-0.00729927007299271,0.732546618293,-0.270936334100711,-0.354945156047201,-0.319845161168159,-0.32682797674446,0.00183823529411761,2,0.543933303850932
1951-02-28,712647,21.8,21.8,0.00183823529411761,-0.00775193798449604,-0.00592795257637934,0.0614867024821665,0.161450105149294,-0.276584934536343,-0.368134372974037,-0.340328863086617,0.00229357798165141,2,0.631826793567651
1951-03-01,712648,21.85,21.85,0.00229357798165141,0.00183823529411761,0.0041360294117647,-0.117465377591275,-0.16507471038043,0.0553033864857635,-0.354470860363527,-0.403824660554247,0.0036613272311212,2,0.569479489316782
1951-03-02,712649,21.93,21.93,0.0036613272311212,0.00229357798165141,0.00596330275229353,-0.213048215473937,-0.0438253732314707,-0.103084206485107,0.119789067176328,-0.28851722252953,-0.0063839489284086,1,0.583035897316325
