cpdate,datestr2,cp,timegap,timegap1,cpma,nlag4,nlag3,nlag2,nlag1,pct1hg,yval,upprob1,corrp,upprob2
733858.479166667,2009-03-26 11:30,82.63,30.0000008940697,0,1.03739545067632,0.000363064262374454,0.00617209246036537,-0.00435677114849328,-0.00169429989108073,0.290451409899563,2,0.516470731122256,0,0.513
733858.5,2009-03-26 12:00,82.09,29.9999995529652,0,1.02982206119971,-0.000365452552077002,-0.0109635765623096,-0.00828359118041165,-0.0065781459373857,1.31562918747716,2,0.509177581361919,0,0.508
733858.520833333,2009-03-26 12:30,82.87,29.9999995529652,0,1.03877578136948,-0.00144805116447436,0.00120670930372883,0.00289610232894907,0.00941233256908412,-1.07397128031857,1,0.494293062268371,0,0.489
733858.541666667,2009-03-26 13:00,83.17,30.0000008940697,0,1.04162100625323,0.00480942647589282,0.00649272574245529,0.0129854514849104,0.00360706985691953,-1.46687507514729,1,0.507040379225086,0,0.503
733859.291666667,2009-03-27 07:00,81.98,1080,1,1.02600557432158,-0.00792876311295427,-0.00134179068065381,-0.0108563064161991,-0.0145157355452549,0.182971456452783,2,0.533330202068607,0,0.53
733859.3125,2009-03-27 07:30,81.95,29.9999995529652,0,1.02496050869059,-0.00170835875533863,-0.0112263575350824,-0.0148871262965223,-0.000366076876144004,0.353874313605847,2,0.498883544103172,0.312942424456512,0.504
733859.333333333,2009-03-27 08:00,82.13,29.9999995529652,0,1.0265646893245,-0.00901010592962388,-0.0126628515767686,0.00182637282357228,0.00219164738828677,0.170461463533423,2,0.490768031833557,0.190817416537319,0.492
733859.354166667,2009-03-27 08:30,82.24,30.0000008940697,0,1.02729245232346,-0.0113083657587549,0.00316147859922168,0.00352626459143959,0.00133754863813229,-0.255350194552522,1,0.504123489986906,0.153092206583827,0.504
733859.375,2009-03-27 09:00,82.27,29.9999995529652,0,1.02698728343326,0.00352497872857654,0.00388963170049828,0.00170171386896804,0.000364652971921735,-0.498359061626348,1,0.507610302301937,-0.0105761823010284,0.504
733859.395833333,2009-03-27 09:30,82.03,29.9999995529652,0,1.02331557740048,0.000975252956235503,-0.00121906619529434,-0.00256003901011817,-0.00292575886870651,-0.182859929294168,1,0.508231047066862,-0.024887215758415,0.505
733859.416666667,2009-03-27 10:00,81.86,30.0000008940697,0,1.02060408391246,-0.00329831419496697,-0.00464207182995352,-0.00500855118494987,-0.00207671634497925,-0.427559247495717,1,0.503533615342282,-0.727641506462211,0.484
733859.4375,2009-03-27 10:30,81.88,29.9999995529652,0,1.0202962697131,-0.00439667806546164,-0.00476306790425013,-0.00183194919394242,0.000244259892525599,-0.0610649731314084,1,0.49908739765103,-0.826651029375047,0.476
733859.458333333,2009-03-27 11:00,81.51,29.9999995529652,0,1.01527458251177,-0.00932400932400921,-0.0063795853269537,-0.00429395166237265,-0.00453932032879389,0.588884799411103,2,0.503849078369037,-0.287879079236116,0.495
733859.479166667,2009-03-27 11:30,81.83,30.0000008940697,0,1.01873765171199,-0.00244409140901873,-0.000366613711352819,-0.00061102285225464,0.00391054625442983,-0.0366613711352818,1,0.496261177200448,-0.267476509272381,0.486
733859.5,2009-03-27 12:00,81.99,29.9999995529652,0,1.02014408182056,0.0015855592145383,0.0013416270276863,0.0058543724844492,0.0019514574948164,-0.45127454567629,1,0.500256651574304,0.049379069017515,0.498
733859.520833333,2009-03-27 12:30,81.8,29.9999995529652,0,1.0172661655781,-0.000977995110024429,0.00354523227383853,-0.000366748166259183,-0.00232273838630804,-3.0684596577017,1,0.508663564274466,-0.685112078400012,0.489
733859.541666667,2009-03-27 13:00,81.62,30.0000008940697,0,1.01450914636799,0.0013477088948787,-0.00257289879931382,-0.00453320264641007,-0.00220534182798325,-2.95270766968881,1,0.503824172883417,-0.677340732762101,0.485
733862.291666667,2009-03-30 07:00,79.29,3960,1,0.98536921208988,-0.0320343044520115,-0.0340522133938705,-0.0316559465254129,-0.0293857989658216,-0.61798461344433,1,0.520860221714598,-0.177995109419775,0.518
733862.3125,2009-03-30 07:30,79.21,29.9999995529652,0,0.984236803324114,-0.0350965787148088,-0.0326978916803434,-0.0304254513319027,-0.00100997348819609,-0.7701047847494,1,0.471256324444817,-0.24591172148251,0.462
733862.333333333,2009-03-30 08:00,78.8,29.9999995529652,0,0.979079019628795,-0.0380710659898477,-0.0357868020304569,-0.00621827411167524,-0.00520304568527914,-0.0507614213197869,1,0.469439194996321,-0.439430509189386,0.458
733862.354166667,2009-03-30 08:30,78.6,30.0000008940697,0,0.976549153595279,-0.0384223918575065,-0.00877862595419863,-0.00776081424936386,-0.00254452926208655,0.48346055979645,2,0.485717704647439,-0.511592882271457,0.47
733862.375,2009-03-30 09:00,78.76,29.9999995529652,0,0.978489627463307,-0.00672930421533775,-0.00571356018283378,-0.000507872016251803,0.00203148806500775,-0.139664804469273,1,0.482786950558406,-0.41470866812274,0.469
733862.395833333,2009-03-30 09:30,78.98,29.9999995529652,0,0.981314275277416,-0.0029121296530766,0.00227905798936448,0.00481134464421385,0.00278551532033425,-0.253228665484936,1,0.488025086807696,-0.219789265063302,0.479
733862.416666667,2009-03-30 10:00,78.65,30.0000008940697,0,0.977450897539782,-0.00190718372536544,0.000635727908455326,-0.00139860139860139,-0.00419580419580417,-0.45772409408773,1,0.497658125160495,0.110358857324297,0.498
733862.4375,2009-03-30 10:30,78.78,29.9999995529652,0,0.979154134123484,0.00228484386900237,0.000253871541000203,-0.00253871541000257,0.00165016501650159,-0.456968773800456,1,0.489274744615972,-0.408216031003308,0.476
