ydatestr,iprob_1d,iprob_2d,iprob_1w,final_prob_1d,final_prob_2d,final_prob_1w,n1dg,n2dg,n1wg
2014-01-02,0.519222453206605,0.513285425567032,0.532871266021093,0.531506672225472,0.522616697785817,0.562632214726024,-0.000332973067391635,-0.00284475386537342,0.00335702354829206
2014-01-03,0.518077245963653,0.516997032390201,0.530238537500074,0.524136716056397,0.525167911137693,0.551665168317465,-0.00251178079798179,0.00356999194845051,0.00600643234300005
2014-01-06,0.511885624581468,0.514495577940122,0.528208616917347,0.517387795613646,0.526944110443889,0.555148114513288,0.0060817727464323,0.00586957173222022,-0.00414392616476072
2014-01-07,0.504446527286066,0.519533387715045,0.519192266863181,0.519559006470384,0.522400903151509,0.540941105087768,-0.000212201014212081,0.000136100201032682,0.000544105164646223
2014-01-08,0.51660184184754,0.523887722487802,0.519709385749999,0.532358984579917,0.527769222742183,0.547040941613776,0.000348301215244763,0.0026549933425697,0.0059265628656483
2014-01-09,0.521611723592527,0.517741896080223,0.507758471489786,0.528046015319346,0.514834013081818,0.513245130197375,0.00230669212732493,-0.0102695004941354,0.00422168181793453
2014-01-10,0.513338288538688,0.509882436919841,0.49850097715155,0.509915952974031,0.506427290643613,0.495059301791862,-0.0125761926214603,-0.00175825066895369,-0.00199199943550961
2014-01-13,0.543925271899927,0.517146428473106,0.510446745747671,0.53280559696562,0.512120957178752,0.495930416199691,0.0108179419525066,0.0159841300670111,0.0135224274406332
2014-01-14,0.503144759126118,0.506288381004575,0.506784869155156,0.499534516914483,0.510894851472599,0.505517557756164,0.00516618811450448,0.00381906252344636,0.00325197946576165
2014-01-15,0.499153819607806,0.506662424480511,0.492068372645275,0.501008954555448,0.51278913502332,0.501220407479781,-0.00134712559105812,-0.00524226560481845,-0.010777004728465
2014-01-16,0.525551277544242,0.512973666510013,0.503422836506623,0.529010833270345,0.513310499161537,0.515829110714702,-0.00389514001376033,-0.00112144120481928,-0.0301209714555039
2014-01-17,0.52731453800673,0.519139607031232,0.518855549853133,0.536382110451223,0.509462171005274,0.514787453450982,0.00277369880894105,0.00334859847267895,-0.0310763039103715
2014-01-21,0.504838859986616,0.504238782044533,0.500398830082228,0.506493687972073,0.490425646684678,0.479597712148577,0.000574899663737903,-0.00831466377196988,-0.0278229742922226
2014-01-22,0.511820850461161,0.51409952090457,0.508462874707699,0.522379545682504,0.508723006624583,0.50917843886367,-0.00888956343570779,-0.0297650542859315,-0.0383010092906778
2014-01-23,0.538864156061039,0.528145553246541,0.528722759960388,0.552256247447661,0.536065290414266,0.560976992287617,-0.0208754908502237,-0.025751795806404,-0.0187425483740415
2014-01-24,0.567359786532617,0.542109830305747,0.554407332239134,0.57577659012902,0.555964055742951,0.593011212476306,-0.00487630495618029,0.00126438073501173,-0.00430097917097233
2014-01-27,0.537240817451246,0.53822668633232,0.552320206748191,0.554639769246437,0.556882097406111,0.590484263085852,0.00614068569119202,-0.00406851932972846,-0.0222670019533442
2014-01-28,0.501577111508444,0.533852156707711,0.546529365540437,0.542555654405769,0.562135302711641,0.616218959584804,-0.0102092050209205,0.00105784491707975,-0.0208089260808926
2014-01-29,0.552856054494707,0.556036243076945,0.548304368438195,0.596149448971549,0.578247615775908,0.617349829436128,0.0112670499380002,0.00480173689980465,-0.0127155901251268
2014-01-30,0.521938313139225,0.542352479343895,0.524140599769367,0.565946328323608,0.567336283473743,0.584374945391663,-0.00646531303819559,-0.0292972598122714,-0.0115706809200809
2014-01-31,0.534323611421578,0.531983259190598,0.498727911257452,0.558084280731134,0.555750542783445,0.545586365976075,-0.0228319467740758,-0.0151908213298744,0.00809496294717241
2014-02-03,0.587634355735687,0.549897353836989,0.528869787783192,0.600993908088388,0.564282569901969,0.553410868888145,0.00764112544420138,0.00561286655632539,0.0332684612690812
2014-02-04,0.522811108535578,0.535060851599069,0.523993061240739,0.541159020544166,0.555354787019275,0.551629377404916,-0.00202825888787599,0.0104115118412692,0.0367764357338195
2014-02-05,0.524803083623212,0.535666294335526,0.50266535041751,0.548912880897332,0.555415613139981,0.542794014639404,0.0124397707291452,0.0257416772041682,0.0386038227032951
2014-02-06,0.51919349991003,0.539697173295387,0.509690123843686,0.562816602260884,0.557636053364533,0.571331405140955,0.0133019064750229,0.0148711711465346,0.0318027776681346
2014-02-07,0.490220334672732,0.521415319251647,0.497456914889627,0.538647003078743,0.532618152054932,0.556244625934237,0.00156926467151169,0.0126313590799036,0.0231550010573061
2014-02-10,0.511320571468063,0.511319042855266,0.474230083406359,0.543046259660515,0.500655634048228,0.487680046887179,0.0110620944083919,0.0107928266518319,0.0227353542537115
2014-02-11,0.49388065455348,0.499070757279078,0.469963904001947,0.515747526951455,0.488855840246905,0.466666699913553,-0.000269267756559972,0.0055407868810399,0.00494573430416266
2014-02-12,0.49674290183297,0.497908441127712,0.477748603151155,0.519504366605772,0.489518241258633,0.477353724755776,0.00581005463759987,0.0106192445623471,0.0112793113683586
2014-02-13,0.499947222360548,0.503651803473772,0.485690167645367,0.524990236903106,0.498189612055519,0.489352032790988,0.00480918992474721,0.00596766117779969,0.00350852264964509
2014-02-14,0.489067814160976,0.504520889508186,0.500867350131037,0.520602256316376,0.503045736784947,0.516304601695024,0.00115847125305248,-0.00536600776648292,0.00488407129221202
2014-02-18,0.488197003115344,0.497211356283238,0.518912173362004,0.525369918142253,0.50264310157117,0.549484171242227,-0.0065244790195354,-0.000493036777566861,0.00236858688802446
