prob_1d,prob_2d,prob_1w,ydate,ydatestr,cpma,n1dg1,n1dg2,n1dg3,n2dlagd,n1wlagd,n2wlagd,n1mlagd,n2mlagd,yvalue1d,yvalue2d,yvalue1w,n1dg,n2dg,n1wg,corr1d,corr2d,corr1w
0.453024043171655,0.483428813612865,0.478785002665269,726471,1989-01-03,1.01465651825873,-0.00867780498343664,-0.00601288475304205,0.0083730330590443,-0.0146906897364787,-0.00921294130348725,0.00571862897679968,0.0128766417718259,-0.0264684813753581,2,2,2,0.0149649486033926,0.0170406026133413,0.0184156042279612,0,0,0
0.588350043679306,0.551400506945567,0.542037893334924,726472,1989-01-04,1.02920810313076,0.0149649486033926,-0.00867780498343664,-0.00601288475304205,0.00628714361995591,0.00939204565979129,-0.00745760281094274,0.016367802713418,-0.00499439035865512,2,2,2,0.00207565400994877,0.0044327126864247,0.00923308163046195,0,0,0
0.483473040134383,0.468363802765456,0.486635254205137,726473,1989-01-05,1.03068155801094,0.00207565400994877,0.0149649486033926,-0.00867780498343664,0.0170406026133413,0.0105745633030172,-0.00140555735755232,0.00871789329586807,0.0133610776475741,2,2,2,0.00235705867647593,0.00346155862303239,0.0112853112388844,0,0,0
0.489927534539551,0.488455258713756,0.490500052643408,726474,1989-01-06,1.03227576588558,0.00235705867647593,0.00207565400994877,0.0149649486033926,0.0044327126864247,0.00454545454545468,0.00728242843752247,0.00913242009132427,0.0108304561148465,2,1,2,0.00110449994655646,-0.0010308833547462,0.0114012897709053,0,0,0
0.496484850518283,0.488491524792712,0.496740043953745,726477,1989-01-09,1.03264037374687,0.00110449994655646,0.00235705867647593,0.00207565400994877,0.00346155862303239,0.0117384415958519,0.00307003286741078,0.0158718681080301,0.0119269747192039,1,2,2,-0.00213538330130266,0.00367815546751107,0.0112463520535268,0,0,0
0.491590215191001,0.485044837212585,0.496185033477319,726478,1989-01-10,1.02969319637878,-0.00213538330130266,0.00110449994655646,0.00235705867647593,-0.0010308833547462,0.0184156042279612,-0.00921294130348725,0.0120925531530882,0.012203588001023,2,2,2,0.00581353876881374,0.00992686808337714,0.0113060845994722,0,0,0
0.526665582594367,0.508167973446534,0.507680532313627,726479,1989-01-11,1.03488199277443,0.00581353876881374,-0.00213538330130266,0.00110449994655646,0.00367815546751107,0.00923308163046195,0.00939204565979129,0.0198538984521916,0.0320991340698715,2,2,2,0.0041133293145634,0.00658534259280611,0.0160278004326087,0,0,0
0.505089203918366,0.4896716453626,0.495740314295175,726480,1989-01-12,1.03826515085406,0.0041133293145634,0.00581353876881374,-0.00213538330130266,0.00992686808337714,0.0112853112388844,0.0105745633030172,0.0248271868553437,0.0320857612430897,2,2,2,0.00247201327824271,0.0034231528844004,0.013207613800897,0,0,0
0.498532849464329,0.492354420732673,0.490606898073887,726481,1989-01-13,1.03980656601565,0.00247201327824271,0.0041133293145634,0.00581353876881374,0.00658534259280611,0.0114012897709053,0.00454545454545468,0.031092223311903,0.0259745099500635,2,1,2,0.000951139606157684,-0.00112530158480443,0.00972276041850139,0,0,0
0.49446863398472,0.490544471907632,0.488384493206702,726484,1989-01-16,1.03976533373928,0.000951139606157684,0.00247201327824271,0.0041133293145634,0.0034231528844004,0.0112463520535268,0.0117384415958519,0.0359486655972,0.0396482450155408,1,2,1,-0.00207644119096211,0.00843316910704515,0.0012669810656719,0,0,0
0.481850787758642,0.479691472119774,0.486863884875926,726485,1989-01-17,1.03675574246775,-0.00207644119096211,0.000951139606157684,0.00247201327824271,-0.00112530158480443,0.0113060845994722,0.0184156042279612,0.0262767382098519,0.0441798941798942,2,2,2,0.0105096102980073,0.0118358239580081,0.0174219714336096,0,0,0
0.552466968196517,0.519425520115011,0.517669375354792,726486,1989-01-18,1.04660502631945,0.0105096102980073,-0.00207644119096211,0.000951139606157684,0.00843316910704515,0.0160278004326087,0.00923308163046195,0.0273206410670107,0.0466844297669531,2,1,2,0.00132621366000088,0.000350297867592009,0.00910899382263642,0,0,0
0.485290525287389,0.47458949190401,0.482198235024274,726487,1989-01-19,1.04695172148041,0.00132621366000088,0.0105096102980073,-0.00207644119096211,0.0118358239580081,0.013207613800897,0.0112853112388844,0.0340216960392114,0.0422582826233942,1,1,2,-0.000975915792408872,-0.00840709885070701,0.0166602767418353,0,0,0
0.484038947845469,0.485194264170581,0.482727109470986,726488,1989-01-20,1.04500335780655,-0.000975915792408872,0.00132621366000088,0.0105096102980073,0.000350297867592009,0.00972276041850139,0.0114012897709053,0.0333477539837047,0.0380599528460762,1,2,2,-0.00743118305829814,0.00659342151112193,0.0250846038446778,0,0,0
0.462001437274145,0.474335661350712,0.474350971977955,726491,1989-01-23,1.03640684123231,-0.00743118305829814,-0.000975915792408872,0.00132621366000088,-0.00840709885070701,0.0012669810656719,0.0112463520535268,0.0275580597392278,0.0292565055762082,2,2,2,0.0140246045694201,0.0162777155957987,0.036871704745167,0,0,0
0.579348021943672,0.541075770249021,0.532601199265071,726492,1989-01-24,1.04991050885849,0.0140246045694201,-0.00743118305829814,-0.000975915792408872,0.00659342151112193,0.0174219714336096,0.0113060845994722,0.0382193111886854,0.0398158889346256,2,2,2,0.00225311102637865,0.0110723681336624,0.0311275954105862,0,0,0
0.481743937540687,0.473025715704671,0.479155450046563,726493,1989-01-25,1.05109826572785,0.00225311102637865,0.0140246045694201,-0.00743118305829814,0.0162777155957987,0.00910899382263642,0.0160278004326087,0.0444677238738576,0.0304868969624777,2,2,2,0.00881925710728371,0.016121530068304,0.0274953309815314,0,0,0
