ydatestr,cp,upprob1d,upprob2d,upprob1w,nxt_prob1d,nxt_prob2d,nxt_prob1w
2014-01-02,1831.98,0.512618199918638,0.512674469875921,0.535165165470281,0.516408495892727,0.514523888493625,0.523847670469493
2014-01-03,1831.37,0.516251921622766,0.516506584819822,0.533119785822534,0.513607702971057,0.525789953192881,0.520434997888779
2014-01-06,1826.77,0.513103223612617,0.520954565943391,0.534275271563675,0.510254343515577,0.523425067960484,0.517994972825793
2014-01-07,1837.88,0.501546197686445,0.51449004649277,0.522110277495841,0.499495049621942,0.499162118445166,0.498123218814457
2014-01-08,1837.49,0.512305836070848,0.523381768040875,0.525235954950909,0.512870042404683,0.501137649082613,0.498595689645234
2014-01-09,1838.13,0.517473138676554,0.516335295804111,0.507205241553981,0.518951706628912,0.503883388906424,0.492588980969613
2014-01-10,1842.37,0.513020764185176,0.513667215686774,0.496690682349212,0.511768048581545,0.505815871239757,0.484411098146974
2014-01-13,1819.2,0.541795850984425,0.525578153183486,0.507960453664868,0.54289076684601,0.532987813345687,0.504061505580126
2014-01-14,1838.88,0.509175378539624,0.513841193428763,0.510689907582394,0.50083458045664,0.519610659023287,0.496523613692864
2014-01-15,1848.38,0.502882774689303,0.518409958513125,0.497031849212835,0.504669741562717,0.501759325749419,0.484200216910027
2014-01-16,1845.89,0.518404717610856,0.51326562461195,0.502751770763293,0.521178717153548,0.509346181627445,0.495600300823409
2014-01-17,1838.7,0.523165358429571,0.519056122210179,0.519906729392825,0.524139473302709,0.510424046484553,0.499011487424091
2014-01-21,1843.8,0.506388893547226,0.506578603019704,0.497502177222065,0.507309601190801,0.496491854606666,0.484694630573842
2014-01-22,1844.86,0.51167021990662,0.517707345494962,0.511157415766817,0.513742420127503,0.500105888834896,0.49059017007746
2014-01-23,1828.46,0.534544823982433,0.529543746020726,0.533166984605081,0.539829254867797,0.526911413129695,0.516807673827104
2014-01-24,1790.29,0.565173670645594,0.546210512542195,0.560047511593511,0.569456570480191,0.571058292235688,0.554832397950683
2014-01-27,1781.56,0.546202761381463,0.545538856170499,0.563921721036498,0.541818699283831,0.564705044092355,0.551537334500079
2014-01-28,1792.5,0.510231979019239,0.540399085820352,0.566728985987059,0.510761559957657,0.536976374868504,0.543471166688618
2014-01-29,1774.2,0.547999349331058,0.555562101041557,0.563847409812608,0.558363204430677,0.554847411758467,0.551511651250754
2014-01-30,1794.19,0.522319718352667,0.536236759941095,0.536008106213999,0.528848677361968,0.532799217948409,0.527364772978665
2014-01-31,1782.59,0.533862909108816,0.535332755955551,0.501031281794636,0.557006579015559,0.543054176092903,0.52511700922306
2014-02-03,1741.89,0.581367187508731,0.547304085854879,0.5264056271561,0.601614747072723,0.590529625756078,0.565112970329425
2014-02-04,1755.2,0.534225589161849,0.538303333077894,0.532148491709015,0.53957674978818,0.570518089644579,0.545192079985103
2014-02-05,1751.64,0.532940298363721,0.54534332596035,0.511795203811295,0.551502480756307,0.549165372571128,0.532665881799491
2014-02-06,1773.43,0.51733261327874,0.532289338439142,0.520892305043879,0.528264150813371,0.52118746657381,0.523642211265844
2014-02-07,1797.02,0.486105431643173,0.513030809251019,0.506120883269888,0.499647640203093,0.477264361672285,0.501950956900235
2014-02-10,1799.84,0.499184125407397,0.495277634441086,0.464332255926206,0.523051219880695,0.467934205965332,0.48769210003696
2014-02-11,1819.75,0.487591025193036,0.486034188577495,0.459138272609265,0.503964025809077,0.47537267183458,0.483984803397407
2014-02-12,1819.26,0.489256635312614,0.48709789319375,0.465849453437991,0.51191502787666,0.473414622866619,0.492396704359833
2014-02-13,1829.83,0.493583981080626,0.490883541575824,0.476720652025122,0.512663618341048,0.487483328758223,0.50221201327215
2014-02-14,1838.63,0.48300968287708,0.493582253758515,0.497438070051121,0.499018346043511,0.483019333574567,0.505462384777367
2014-02-18,1840.76,0.479541698815252,0.486864874948566,0.519254055398517,0.493350294161368,0.483896543673863,0.525695467464684
2014-02-19,1828.75,0.500562847689146,0.501916860225555,0.54261359371172,0.511034243956671,0.504126298943582,0.536828302512055
2014-02-20,1839.78,0.479551489544989,0.49345971203266,0.540786646268497,0.484043672572594,0.493363998066981,0.531570644302499
2014-02-21,1836.25,0.493716747449812,0.506196140583778,0.537992016180847,0.502527001969892,0.507809581863268,0.531286702511879
2014-02-24,1847.61,0.495478010660956,0.501567471436703,0.522623811864316,0.499223866021025,0.522833209587337,0.528235272558677
2014-02-25,1845.12,0.502817488570036,0.506786041946843,0.522747337970316,0.508174391346001,0.528085438325488,0.528593506179948
2014-02-26,1845.16,0.511875904494913,0.505177686070085,0.505800380005859,0.519067135071701,0.531911389831258,0.522348029096289
2014-02-27,1854.29,0.499009087708143,0.502429757622826,0.507399391653055,0.500722391348101,0.52767720236859,0.517054414977068
2014-02-28,1859.45,0.502579224911471,0.504092011765227,0.498132568330909,0.509120754073313,0.51889062525153,0.510843143703893
2014-03-03,1845.73,0.526233552561279,0.513633424634687,0.510308895978239,0.531001439648912,0.537696274954023,0.515562277649812
2014-03-04,1873.91,0.488142099370805,0.490826074358023,0.483931135251531,0.486925088854816,0.531928314146853,0.497281157992372
2014-03-05,1873.81,0.493739897769382,0.49646785340872,0.484516013391967,0.50619137659008,0.530073980752055,0.506418178102651
2014-03-06,1877.03,0.509230979135096,0.495013079592227,0.488493286421644,0.518323286996104,0.548329915722206,0.51707742260058
2014-03-07,1878.04,0.502524792789735,0.498840246988581,0.500255064496668,0.510470032347943,0.54173016803338,0.517320336726051
