ydate,cp,upprob1,upprob2,pctg,ydatestr
735577,181.4,0.587656554857649,0.550105610798709,-0.231532524807065,2013-12-09
735578,180.75,0.6380853889638,0.565922907135196,0.0387275242046989,2013-12-10
735579,178.72,0.647826725248138,0.59004717554759,-0.044762757385862,2013-12-11
735580,178.13,0.687233999451233,0.594365743126696,0.207713467692138,2013-12-12
735581,178.11,0.664534726772891,0.599755869494765,0.471618662624207,2013-12-13
735584,179.22,0.624961422657495,0.562842897304422,0.0892757504742755,2013-12-16
735585,178.65,0.635844898147865,0.584393352683266,0.151133501259436,2013-12-17
735586,181.7,0.623678952211614,0.515442843331923,-0.286186020913584,2013-12-18
735587,181.49,0.621935715206019,0.54353254089288,-0.440795636123209,2013-12-19
735588,181.56,0.666351642735557,0.533405541741438,0.490196078431365,2013-12-20
735591,182.53,0.622516144417845,0.508657074961662,0.00547855147098609,2013-12-23
735592,182.93,0.641581799890754,0.523932720460371,0.224129448422892,2013-12-24
735594,183.86,0.627556450530511,0.504846500811427,0.130534102034146,2013-12-26
735595,183.85,0.628661378452141,0.518705387223403,0.0108784335055808,2013-12-27
735598,183.82,0.643023451633342,0.521129597828916,0.136002611250136,2013-12-30
735599,184.69,0.6399017149091,0.517031177502001,-0.384427960366023,2013-12-31
735601,182.92,0.678368911463176,0.573741008116078,0.169472993658431,2014-01-02
735602,182.89,0.668159352232552,0.551622828776963,0.32806605063154,2014-01-03
735605,182.36,0.653931172103426,0.568470750350977,0.400307084887031,2014-01-06
735606,183.48,0.622845629118707,0.53456038467583,-0.0163505559189019,2014-01-07
735607,183.52,0.654604413928129,0.568829271718646,0.321490845684396,2014-01-08
735608,183.64,0.629577281110604,0.530519169535714,0.168808538444785,2014-01-09
735609,184.14,0.638070671914527,0.540720675308781,-0.255240577821222,2014-01-10
735612,181.69,0.683465708722514,0.590303158306865,0.330232814133961,2014-01-13
735613,183.67,0.659088021863089,0.524810846003403,0.23411553329341,2014-01-14
735614,184.66,0.633503143860736,0.546472145773763,-0.205783602296109,2014-01-15
735615,184.42,0.644312938467402,0.54089151549031,-0.173516972128833,2014-01-16
735616,183.64,0.674440973957032,0.563041359141346,0.57721629274668,2014-01-17
735620,184.18,0.617730125964033,0.507423788779728,0.168313606254752,2014-01-21
735621,184.3,0.645826286500808,0.548262100947923,-0.504612045577866,2014-01-22
735622,182.79,0.704569361231471,0.593550796050202,-0.651020296515125,2014-01-23
735623,178.89,0.748846926207962,0.650636439664832,0.0950304656492906,2014-01-24
735626,178.01,0.728964550340379,0.621534283120062,0.0730296050783638,2014-01-27
735627,179.07,0.686759611446542,0.615373260252593,-0.832076841458637,2014-01-28
735628,177.35,0.718834635254065,0.662891426285173,0.834508034959131,2014-01-29
735629,179.23,0.607179274217623,0.539294467838958,-1.23863192545891,2014-01-30
735630,178.18,0.718535754637619,0.637808237682898,-0.117858345493326,2014-01-31
735633,174.17,0.678018987753817,0.608545451743431,0.44783831888385,2014-02-03
735634,175.39,0.667416799002052,0.572024880801132,-0.347796339586057,2014-02-04
735635,175.17,0.681858532035779,0.624011133494352,0.234058343323643,2014-02-05
735636,177.48,0.60738233549145,0.532569641613427,0.467658327698903,2014-02-06
735637,179.68,0.539606996798147,0.499675648450616,0.0111308993766595,2014-02-07
735640,180.01,0.54732524861876,0.489381331411969,0.0833287039608942,2014-02-10
735641,181.98,0.558601449157521,0.478266863430031,0.148367952522261,2014-02-11
735642,182.07,0.551920570887185,0.500703774977349,-0.675564343384407,2014-02-12
735643,183.01,0.643082087555113,0.53145572141549,-0.0928910988470507,2014-02-13
735644,184.02,0.59589935798828,0.521603460790582,0.0869470709705448,2014-02-14
735648,184.24,0.581029637064262,0.493703127321363,-0.260529743812428,2014-02-18
735649,183.02,0.634664625314639,0.549726718594701,0.136597093213856,2014-02-19
735650,184.1,0.616419711637098,0.515153618439432,0.190114068441062,2014-02-20
735651,183.89,0.605665639329675,0.536248699833354,0.212083310674868,2014-02-21
735654,184.91,0.597972377956959,0.506120296749306,0.0811205451300663,2014-02-24
735655,184.84,0.607511390218344,0.524651302013211,0.146072278727554,2014-02-25
735656,184.85,0.615445063703009,0.525895509045468,-0.146064376521494,2014-02-26
735657,185.82,0.631456315213427,0.530934832979262,-0.0161446561188253,2014-02-27
735658,186.29,0.620042858943392,0.528755851410327,-0.880347844758165,2014-02-28
735661,184.98,0.684367331714168,0.602602035798202,0.97848416044978,2014-03-03
735662,187.58,0.538038688988412,0.447144002515688,0.0852969399722767,2014-03-04
735663,187.75,0.567960665596474,0.518267649322945,0.245006657789618,2014-03-05
735664,188.18,0.571766288892405,0.490935869962569,0.414496758422787,2014-03-06
735665,188.26,0.581188554783954,0.510352771554896,-0.15404228195049,2014-03-07
735668,188.16,0.633218668100036,0.537642333549203,0.148809523809524,2014-03-10
735669,187.23,0.628115012174515,0.551546201079873,-0.486033221171819,2014-03-11
735670,187.28,0.670494265317266,0.579209368235093,0.299017513882957,2014-03-12
735671,185.18,0.634079886500356,0.57825783173556,-0.178204989739719,2014-03-13
735672,184.66,0.688442708687633,0.602257656414157,0.503628289829961,2014-03-14
735675,186.33,0.613059826883609,0.54767319957627,0.20393924757151,2014-03-17
735676,187.66,0.592949880782373,0.53837960204549,0.0106575722050571,2014-03-18
735677,186.66,0.61200027133327,0.547332257317168,-0.219650701810777,2014-03-19
735678,187.75,0.651429374634878,0.533286694929173,-0.02130492676431,2014-03-20
735679,186.2,0.629835569071849,0.56412445834329,0.343716433942006,2014-03-21
