ydatestr,ydate,openp,cp
1993-01-29,727958,43.97,43.94
1993-02-01,727961,43.97,44.25
1993-02-02,727962,44.22,44.34
1993-02-03,727963,44.41,44.81
1993-02-04,727964,44.97,45
1993-02-05,727965,44.97,44.97
1993-02-08,727968,44.97,44.97
1993-02-09,727969,44.81,44.66
1993-02-10,727970,44.66,44.72
1993-02-11,727971,44.78,44.94
1993-02-12,727972,44.88,44.59
1993-02-16,727976,44.47,43.47
1993-02-17,727977,43.47,43.44
1993-02-18,727978,43.94,43.41
1993-02-19,727979,43.41,43.56
1993-02-22,727982,43.69,43.72
1993-02-23,727983,43.84,43.69
1993-02-24,727984,43.72,44.25
1993-02-25,727985,44.22,44.34
1993-02-26,727986,44.44,44.41
1993-03-01,727989,44.56,44.28
1993-03-02,727990,44.31,44.94
1993-03-03,727991,45,45.12
1993-03-04,727992,45.19,44.88
1993-03-05,727993,44.94,44.75
1993-03-08,727996,44.84,45.75
1993-03-09,727997,45.66,45.59
1993-03-10,727998,45.59,45.69
1993-03-11,727999,45.72,45.56
1993-03-12,728000,45.19,45.09
1993-03-15,728003,45.06,45.31
1993-03-16,728004,45.31,45.31
1993-03-17,728005,45.25,45.03
1993-03-18,728006,45.22,45.31
1993-03-19,728007,45.28,45.03
1993-03-22,728010,44.59,44.78
1993-03-23,728011,44.91,44.88
1993-03-24,728012,44.81,44.88
1993-03-25,728013,44.91,45.16
1993-03-26,728014,45.12,44.91
1993-03-29,728017,44.94,45.09
1993-03-30,728018,45.16,45.22
1993-03-31,728019,45.34,45.19
1993-04-01,728020,45.25,45.03
1993-04-02,728021,44.66,44.09
1993-04-05,728024,44.44,44.31
1993-04-06,728025,44.41,44.19
1993-04-07,728026,44.25,44.34
1993-04-08,728027,44.53,44.28
1993-04-12,728031,44.72,44.91
1993-04-13,728032,44.88,45
1993-04-14,728033,45.03,44.94
1993-04-15,728034,44.91,44.94
1993-04-16,728035,44.97,44.94
1993-04-19,728038,44.94,44.75
1993-04-20,728039,44.69,44.53
1993-04-21,728040,44.62,44.5
1993-04-22,728041,44.31,43.94
1993-04-23,728042,43.84,43.75
1993-04-26,728045,43.78,43.41
1993-04-27,728046,43.34,43.88
1993-04-28,728047,43.81,43.78
1993-04-29,728048,43.88,43.97
1993-04-30,728049,44.12,44.03
1993-05-03,728052,44.09,44.31
1993-05-04,728053,44.41,44.47
1993-05-05,728054,44.47,44.59
1993-05-06,728055,44.53,44.44
1993-05-07,728056,44.47,44.34
1993-05-10,728059,44.41,44.44
1993-05-11,728060,44.44,44.62
1993-05-12,728061,44.44,44.56
1993-05-13,728062,44.38,44.03
1993-05-14,728063,44.03,44
1993-05-17,728066,44.12,44.16
1993-05-18,728067,44.19,44.12
1993-05-19,728068,44.12,45.03
1993-05-20,728069,45.03,45.16
1993-05-21,728070,45.19,44.75
1993-05-24,728073,44.84,44.94
1993-05-25,728074,45.12,45.03
1993-05-26,728075,45.16,45.59
1993-05-27,728076,45.66,45.44
1993-05-28,728077,45.41,45.22
1993-06-01,728081,45.38,45.66
1993-06-02,728082,45.53,45.59
1993-06-03,728083,45.5,45.44
1993-06-04,728084,45.31,45.28
1993-06-07,728087,45.38,45.12
1993-06-08,728088,45,44.72
1993-06-09,728089,44.88,44.88
1993-06-10,728090,44.84,44.91
1993-06-11,728091,45.06,45.09
1993-06-14,728094,45.16,45.03
1993-06-15,728095,45.09,44.94
1993-06-16,728096,44.94,45.03
1993-06-17,728097,45.12,45.19
1993-06-18,728098,44.84,44.5
1993-06-21,728101,44.62,44.59
1993-06-22,728102,44.66,44.62
1993-06-23,728103,44.62,44.22
1993-06-24,728104,44.34,44.81
1993-06-25,728105,44.78,44.78
1993-06-28,728108,45,45.28
1993-06-29,728109,45.22,45.06
1993-06-30,728110,45.12,45.06
1993-07-01,728111,45.12,44.94
1993-07-02,728112,44.78,44.69
1993-07-06,728116,44.62,44.22
1993-07-07,728117,44.19,44.34
1993-07-08,728118,44.38,44.84
1993-07-09,728119,44.84,44.97
1993-07-12,728122,44.91,44.94
1993-07-13,728123,44.97,44.91
1993-07-14,728124,44.94,45.06
1993-07-15,728125,45.03,44.88
1993-07-16,728126,44.91,44.75
1993-07-19,728129,44.75,44.72
1993-07-20,728130,44.69,44.84
1993-07-21,728131,44.78,44.81
1993-07-22,728132,44.75,44.5
1993-07-23,728133,44.59,44.72
1993-07-26,728136,44.84,44.97
1993-07-27,728137,45,44.94
1993-07-28,728138,44.84,44.84
1993-07-29,728139,44.94,45.09
1993-07-30,728140,45.09,44.84
1993-08-02,728143,44.91,44.97
1993-08-03,728144,45.06,45
1993-08-04,728145,45,45
1993-08-05,728146,45,44.91
1993-08-06,728147,45.03,44.97
1993-08-09,728150,45.09,45.22
1993-08-10,728151,45.19,45.19
1993-08-11,728152,45.16,45.19
1993-08-12,728153,45.31,45.06
1993-08-13,728154,45.09,45.12
1993-08-16,728157,45.16,45.38
1993-08-17,728158,45.34,45.53
1993-08-18,728159,45.69,45.78
1993-08-19,728160,45.81,45.78
1993-08-20,728161,45.69,45.81
1993-08-23,728164,45.62,45.72
1993-08-24,728165,45.72,46.22
1993-08-25,728166,46.22,46.25
1993-08-26,728167,46.28,46.28
1993-08-27,728168,46.16,46.25
1993-08-30,728171,46.28,46.44
1993-08-31,728172,46.41,46.56
1993-09-01,728173,46.41,46.5
1993-09-02,728174,46.53,46.34
1993-09-03,728175,46.31,46.38
1993-09-07,728179,46.38,46.06
1993-09-08,728180,46.06,45.91
1993-09-09,728181,45.72,46
1993-09-10,728182,46.12,46.41
1993-09-13,728185,46.56,46.44
1993-09-14,728186,46.31,46.25
1993-09-15,728187,46.06,46.38
1993-09-16,728188,46.31,46.19
1993-09-17,728189,45.88,45.81
1993-09-20,728192,45.88,45.44
1993-09-21,728193,45.5,45.28
1993-09-22,728194,45.44,45.66
1993-09-23,728195,45.78,45.91
1993-09-24,728196,45.84,45.78
1993-09-27,728199,46.12,46.28
1993-09-28,728200,46.31,46.19
1993-09-29,728201,46.19,46.03
1993-09-30,728202,46.03,45.94
1993-10-01,728203,45.88,46.16
1993-10-04,728206,46.22,46.22
1993-10-05,728207,46.31,46.16
1993-10-06,728208,46.19,46.12
1993-10-07,728209,46.19,46
