ydate,cp,upprob1,upprob2,pctg,ydatestr
735577,181.4,0.485127830889898,0.487253246253646,-0.231532524807065,2013-12-09
735578,180.75,0.550951523949107,0.510151222609703,0.0387275242046989,2013-12-10
735579,178.72,0.560694530268494,0.539538327232967,-0.044762757385862,2013-12-11
735580,178.13,0.601987342050843,0.543149774109299,0.207713467692138,2013-12-12
735581,178.11,0.562266219189784,0.546507225545987,0.471618662624207,2013-12-13
735584,179.22,0.518012738261225,0.502392057410789,0.0892757504742755,2013-12-16
735585,178.65,0.535337265655171,0.522324725307506,0.151133501259436,2013-12-17
735586,181.7,0.53292183366486,0.435475506830916,-0.286186020913584,2013-12-18
735587,181.49,0.528414030701262,0.476984076202614,-0.440795636123209,2013-12-19
735588,181.56,0.586283756735087,0.482371129951738,0.490196078431365,2013-12-20
735591,182.53,0.525371128037968,0.459244827207029,0.00547855147098609,2013-12-23
735592,182.93,0.549456494677625,0.470712072076065,0.224129448422892,2013-12-24
735594,183.86,0.523812655522856,0.453124605875917,0.130534102034146,2013-12-26
735595,183.85,0.524624766141365,0.467914461699443,0.0108784335055808,2013-12-27
735598,183.82,0.543502123104872,0.468939550471505,0.136002611250136,2013-12-30
735599,184.69,0.536231236932472,0.463667188324225,-0.384427960366023,2013-12-31
735601,182.92,0.580576914535608,0.533420034253901,0.169472993658431,2014-01-02
735602,182.89,0.573092694402251,0.492234104609533,0.32806605063154,2014-01-03
735605,182.36,0.55117796471853,0.502666397452556,0.400307084887031,2014-01-06
735606,183.48,0.520812078768446,0.460623086015655,-0.0163505559189019,2014-01-07
735607,183.52,0.5526985144988,0.496957537562278,0.321490845684396,2014-01-08
735608,183.64,0.537976617891572,0.453024153634543,0.168808538444785,2014-01-09
735609,184.14,0.551183560357458,0.45389940688871,-0.255240577821222,2014-01-10
735612,181.69,0.607047215291709,0.526037514050904,0.330232814133961,2014-01-13
735613,183.67,0.576050712274169,0.439905931514009,0.23411553329341,2014-01-14
735614,184.66,0.538099516531198,0.461258163472066,-0.205783602296109,2014-01-15
735615,184.42,0.560320467093864,0.462642048602248,-0.173516972128833,2014-01-16
735616,183.64,0.58675854998788,0.496801118822739,0.57721629274668,2014-01-17
735620,184.18,0.529328635193165,0.423843479038434,0.168313606254752,2014-01-21
735621,184.3,0.554648017127264,0.462023588842966,-0.504612045577866,2014-01-22
735622,182.79,0.621799034111907,0.523675123845596,-0.651020296515125,2014-01-23
735623,178.89,0.677327742109378,0.618689192824563,0.0950304656492906,2014-01-24
735626,178.01,0.644663469833877,0.569151641515212,0.0730296050783638,2014-01-27
735627,179.07,0.580978092999698,0.547175772839308,-0.832076841458637,2014-01-28
735628,177.35,0.627487081045292,0.618201281968493,0.834508034959131,2014-01-29
735629,179.23,0.510487102359611,0.475363912332995,-1.23863192545891,2014-01-30
735630,178.18,0.638682029656451,0.578412181897047,-0.117858345493326,2014-01-31
735633,174.17,0.608493269850207,0.58346893364708,0.44783831888385,2014-02-03
735634,175.39,0.585109163178041,0.515776238883339,-0.347796339586057,2014-02-04
735635,175.17,0.593912446315433,0.572978614710595,0.234058343323643,2014-02-05
735636,177.48,0.51639929641304,0.474806674684521,0.467658327698903,2014-02-06
735637,179.68,0.439580968364191,0.449863045992835,0.0111308993766595,2014-02-07
735640,180.01,0.467144216331771,0.446309840347548,0.0833287039608942,2014-02-10
735641,181.98,0.481828530968388,0.423236080269131,0.148367952522261,2014-02-11
735642,182.07,0.467376415291895,0.452296131717231,-0.675564343384407,2014-02-12
735643,183.01,0.55794965549972,0.475506982507087,-0.0928910988470507,2014-02-13
735644,184.02,0.498522675505657,0.471802867019358,0.0869470709705448,2014-02-14
735648,184.24,0.478796501613161,0.453685912790759,-0.260529743812428,2014-02-18
735649,183.02,0.533134689767928,0.519472517882392,0.136597093213856,2014-02-19
735650,184.1,0.51006772525244,0.47358714482016,0.190114068441062,2014-02-20
735651,183.89,0.498244007320108,0.489645603985018,0.212083310674868,2014-02-21
735654,184.91,0.504208372809712,0.447524929096792,0.0811205451300663,2014-02-24
735655,184.84,0.513098895004928,0.467918427845976,0.146072278727554,2014-02-25
735656,184.85,0.532198955781406,0.463845418056811,-0.146064376521494,2014-02-26
735657,185.82,0.546318667849143,0.461695951351073,-0.0161446561188253,2014-02-27
735658,186.29,0.534411904861873,0.462977760740196,-0.880347844758165,2014-02-28
735661,184.98,0.609938822148854,0.544417808946054,0.97848416044978,2014-03-03
735662,187.58,0.46131248414506,0.370115976650672,0.0852969399722767,2014-03-04
735663,187.75,0.483944917507158,0.432311367462401,0.245006657789618,2014-03-05
735664,188.18,0.496960669174168,0.410593895100596,0.414496758422787,2014-03-06
735665,188.26,0.496516136018953,0.426907317804466,-0.15404228195049,2014-03-07
735668,188.16,0.557230250490933,0.4531796919857,0.148809523809524,2014-03-10
735669,187.23,0.542858615975632,0.469876639497577,-0.486033221171819,2014-03-11
735670,187.28,0.584304977740252,0.501005168549139,0.299017513882957,2014-03-12
735671,185.18,0.542185355180306,0.502760315193891,-0.178204989739719,2014-03-13
735672,184.66,0.605380609675787,0.531893717300398,0.503628289829961,2014-03-14
735675,186.33,0.51331512196127,0.458623567808266,0.20393924757151,2014-03-17
735676,187.66,0.500433118908802,0.452971740289533,0.0106575722050571,2014-03-18
735677,186.66,0.530636168014506,0.469092418044213,-0.219650701810777,2014-03-19
735678,187.75,0.577281197452956,0.449462623594056,-0.02130492676431,2014-03-20
735679,186.2,0.551715738893038,0.497231532029496,0.343716433942006,2014-03-21
